ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04237V05010","Years not captured","C04477V05260","Field of Study","UNIT","VALUE"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","201","Dentistry","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","401","Medical Science","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","202","Medicine","Number","36"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","30","Nursing and Midwifery","Number","102"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","501","Occupational Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","504","Physiotherapy","Number","9"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","402","Radiography and Radiation Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","702","Social Care","Number","57"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","701","Social Work","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","10","Speech and Language Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","12","1 year","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","401","Medical Science","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","202","Medicine","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","30","Nursing and Midwifery","Number","66"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","501","Occupational Therapy","Number","9"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","504","Physiotherapy","Number","9"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","402","Radiography and Radiation Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","702","Social Care","Number","21"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","701","Social Work","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","10","Speech and Language Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","14","2 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","401","Medical Science","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","202","Medicine","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","30","Nursing and Midwifery","Number","48"
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","504","Physiotherapy","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","702","Social Care","Number","12"
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","701","Social Work","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","10","Speech and Language Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","16","3 years","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","18","4 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","18","4 years","401","Medical Science","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","18","4 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","18","4 years","30","Nursing and Midwifery","Number","30"
"HGO11C01","Number of Health Graduates","2010","2010","18","4 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","18","4 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","18","4 years","504","Physiotherapy","Number","6"
