ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C02511V03040","Private or Public Sector","C04477V05260","Field of Study","UNIT","VALUE"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","201","Dentistry","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","401","Medical Science","Number","54"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","202","Medicine","Number","3"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","30","Nursing and Midwifery","Number","369"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","501","Occupational Therapy","Number","36"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","504","Physiotherapy","Number","57"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","402","Radiography and Radiation Therapy","Number","30"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","702","Social Care","Number","399"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","701","Social Work","Number","18"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","10","Speech and Language Therapy","Number","39"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","24"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","02","Public sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","02","Public sector","401","Medical Science","Number","33"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","02","Public sector","202","Medicine","Number","258"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","02","Public sector","30","Nursing and Midwifery","Number","480"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","02","Public sector","501","Occupational Therapy","Number","39"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","01","1","02","Public sector","504","Physiotherapy","Number","24"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","02","Public sector","402","Radiography and Radiation Therapy","Number","27"
"HGO14C01","Number of Health Graduates","2010","2010","01","1","02","Public sector","702","Social Care","Number","78"
