ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C04477V05260","Field of Study","UNIT","VALUE"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","401","Medical Science","Euro","586"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","202","Medicine","Euro","1270"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","30","Nursing and Midwifery","Euro","702"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","501","Occupational Therapy","Euro","650"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","504","Physiotherapy","Euro","483"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","402","Radiography and Radiation Therapy","Euro","797"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","702","Social Care","Euro","476"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","701","Social Work","Euro","826"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","10","Speech and Language Therapy","Euro","645"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","01","1","V52","Dietetics, Optometry and Podiatry","Euro","627"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","401","Medical Science","Euro","654"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","202","Medicine","Euro","1259"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","30","Nursing and Midwifery","Euro","726"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","501","Occupational Therapy","Euro","672"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","504","Physiotherapy","Euro","568"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","402","Radiography and Radiation Therapy","Euro","889"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","702","Social Care","Euro","487"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","701","Social Work","Euro","867"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","10","Speech and Language Therapy","Euro","662"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","02","2","V52","Dietetics, Optometry and Podiatry","Euro","628"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","401","Medical Science","Euro","703"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","202","Medicine","Euro","1243"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","30","Nursing and Midwifery","Euro","737"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","501","Occupational Therapy","Euro","685"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","504","Physiotherapy","Euro","651"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","402","Radiography and Radiation Therapy","Euro","957"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","702","Social Care","Euro","521"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","701","Social Work","Euro","889"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","10","Speech and Language Therapy","Euro","682"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","03","3","V52","Dietetics, Optometry and Podiatry","Euro","635"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","401","Medical Science","Euro","734"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","202","Medicine","Euro","1285"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","30","Nursing and Midwifery","Euro","766"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","501","Occupational Therapy","Euro","725"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","504","Physiotherapy","Euro","704"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","402","Radiography and Radiation Therapy","Euro","1039"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","702","Social Care","Euro","553"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","701","Social Work","Euro","915"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","10","Speech and Language Therapy","Euro","734"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","04","4","V52","Dietetics, Optometry and Podiatry","Euro","717"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","401","Medical Science","Euro","811"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","202","Medicine","Euro","1373"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","30","Nursing and Midwifery","Euro","812"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","501","Occupational Therapy","Euro","765"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","504","Physiotherapy","Euro","756"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","402","Radiography and Radiation Therapy","Euro","1018"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","702","Social Care","Euro","594"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","701","Social Work","Euro","941"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","10","Speech and Language Therapy","Euro","758"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","05","5","V52","Dietetics, Optometry and Podiatry","Euro","759"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","401","Medical Science","Euro","921"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","202","Medicine","Euro","1465"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","30","Nursing and Midwifery","Euro","830"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","501","Occupational Therapy","Euro","771"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","504","Physiotherapy","Euro","806"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","402","Radiography and Radiation Therapy","Euro","1049"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","702","Social Care","Euro","626"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","701","Social Work","Euro","948"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","10","Speech and Language Therapy","Euro","780"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","06","6","V52","Dietetics, Optometry and Podiatry","Euro","755"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","201","Dentistry","Euro","1172"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","401","Medical Science","Euro","1006"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","202","Medicine","Euro","1496"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","30","Nursing and Midwifery","Euro","863"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","501","Occupational Therapy","Euro","814"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","504","Physiotherapy","Euro","829"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","402","Radiography and Radiation Therapy","Euro","1099"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","702","Social Care","Euro","653"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","07","7","701","Social Work","Euro","968"
