ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C02843V04551","Occupational Group","C04477V05260","Field of Study","UNIT","VALUE"
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","401","Medical Science","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","30","Nursing and Midwifery","Number","24"
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","504","Physiotherapy","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","702","Social Care","Number","48"
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","10","Speech and Language Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","1","Managers, directors and senior officials","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","401","Medical Science","Number","6"
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","30","Nursing and Midwifery","Number","12"
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","702","Social Care","Number","66"
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","3","Associate professional and technical occupations","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","702","Social Care","Number","30"
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","701","Social Work","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","4","Administrative and secretarial occupations","V52","Dietetics, Optometry and Podiatry","Number",""
