"Domicile Group","Domicile","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024","2024/2025"
"(Other) EU","Austria",5,10,5,10,15,15,15
"(Other) EU","Belgium",15,20,20,25,15,20,20
"(Other) EU","Bulgaria",0,5,5,5,5,10,15
"(Other) EU","Croatia",5,5,5,5,5,10,5
"(Other) EU","Cyprus",0,0,5,5,10,15,15
"(Other) EU","Czech Republic",0,0,5,5,10,20,30
"(Other) EU","Denmark",0,0,5,5,10,30,35
"(Other) EU","Estonia",0,0,5,5,5,5,5
"(Other) EU","Finland",10,10,5,10,10,15,20
"(Other) EU","France",45,50,55,50,55,50,55
"(Other) EU","Germany",30,40,45,55,75,105,90
"(Other) EU","Greece",10,5,10,20,15,30,35
"(Other) EU","Hungary",5,0,5,0,5,5,10
"(Other) EU","Italy",40,55,50,45,65,65,70
"(Other) EU","Latvia",0,0,5,0,0,15,5
"(Other) EU","Lithuania",5,5,5,0,5,5,5
"(Other) EU","Luxembourg",5,5,5,10,10,15,15
"(Other) EU","Malta",5,5,5,10,15,20,15
"(Other) EU","Netherlands",15,20,15,30,20,45,60
"(Other) EU","Poland",30,20,30,15,35,40,50
"(Other) EU","Portugal",10,15,15,20,25,20,25
"(Other) EU","Romania",10,5,10,5,10,10,20
"(Other) EU","Slovakia",0,5,0,0,5,10,15
"(Other) EU","Slovenia",0,0,0,0,5,15,5
"(Other) EU","Spain",35,30,35,65,60,85,80
"(Other) EU","Sweden",5,5,10,10,10,10,15
"(Other) EU_TOTAL",,295,335,355,415,495,680,720
"Great Britain","Great Britain",410,335,360,330,315,300,290
"Great Britain_TOTAL",,410,335,360,330,315,300,290
"Ireland","Ireland",34495,35240,37540,37635,36525,37535,38625
"Ireland_TOTAL",,34495,35240,37540,37635,36525,37535,38625
"Non-EU","Afghanistan",0,0,0,0,0,5,0
"Non-EU","Albania",5,5,5,0,5,0,0
"Non-EU","Algeria",0,0,0,0,0,5,0
"Non-EU","Andorra",0,0,0,0,0,0,0
"Non-EU","Angola",0,0,0,0,0,0,0
"Non-EU","Antigua and Barbuda",0,0,0,0,0,0,0
"Non-EU","Argentina",0,0,0,0,0,0,0
"Non-EU","Armenia",0,0,0,0,0,0,0
"Non-EU","Australia",60,60,75,80,85,100,115
"Non-EU","Azerbaijan",0,0,0,0,0,0,0
"Non-EU","Bahamas",0,0,0,0,0,0,0
"Non-EU","Bahrain",20,20,15,30,30,50,55
"Non-EU","Bangladesh",5,5,5,5,10,10,15
"Non-EU","Barbados",0,0,0,0,0,0,0
"Non-EU","Belarus",0,0,0,0,0,0,0
"Non-EU","Benin",0,0,0,0,0,0,0
"Non-EU","Bermuda",5,0,5,5,5,5,5
"Non-EU","Bhutan",0,0,0,0,0,0,0
"Non-EU","Bolivia",0,0,0,0,0,0,0
"Non-EU","Bosnia and Herzegovina",0,0,0,0,0,0,0
"Non-EU","Botswana",5,10,15,25,20,20,20
"Non-EU","Brazil",10,5,15,15,10,15,10
"Non-EU","Brunei Darussalam",25,20,25,35,40,40,50
"Non-EU","Burundi",0,0,0,0,0,0,0
"Non-EU","Cambodia",0,0,0,0,0,0,0
"Non-EU","Cameroon",5,5,5,0,0,0,0
"Non-EU","Canada",1225,1280,1330,1370,1495,1520,1595
"Non-EU","Cayman Islands",0,0,0,0,0,0,5
"Non-EU","Chile",0,0,0,0,5,5,5
