"Programme Type","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024","2024/2025"
"Certificates",1570,1725,1395,1655,1635,1945,1695
"Foundation and Access",0,0,0,55,0,0,35
"Higher Certificates",685,710,740,685,615,585,580
"Higher Diplomas",400,510,630,575,305,375,375
"Honours Degrees",25850,26085,27065,27430,27400,26845,28030
"Ordinary Degrees",2885,2420,2315,1895,1485,1930,1510
"PhD",1390,1445,1560,1670,1830,1880,1945
"Postgraduate Certificates",600,735,1280,1250,1320,1430,1595
"Postgraduate Diplomas",1065,1175,1525,1655,1560,1685,2070
"Postgraduate Occasionals",800,980,1300,1285,1270,1630,1555
"Research Masters",190,240,210,305,235,270,280
"Taught Masters",4055,4195,4865,5110,5250,5425,5615
"Undergraduate Diplomas",875,865,725,625,445,565,505
"Undergraduate Occasionals",430,315,135,200,375,505,530
"TOTAL",40800,41395,43745,44395,43720,45080,46315
