"Programme Type","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024","2024/2025"
"Certificates",555,665,375,630,750,960,920
"Higher Certificates",80,85,90,75,35,30,30
"Higher Diplomas",205,250,235,235,225,230,210
"Honours Degrees",13120,13310,13820,14080,14385,14180,15220
"Ordinary Degrees",20,0,10,10,15,450,20
"PhD",1035,1055,1145,1240,1345,1340,1335
"Postgraduate Certificates",440,555,895,800,830,905,1090
"Postgraduate Diplomas",635,655,900,1050,935,975,1130
"Postgraduate Occasionals",655,750,1010,1030,950,1430,1355
"Research Masters",150,105,95,110,95,115,100
"Taught Masters",2830,3095,3510,3690,3605,3680,3865
"Undergraduate Diplomas",805,760,615,520,430,460,440
"Undergraduate Occasionals",245,110,55,65,145,165,235
"TOTAL",20775,21390,22750,23530,23750,24920,25955
